Red_list_category,Country,num_species,Category
LC,Guinea-Bissau,7,Least Concern
LC,Haiti,8,Least Concern
LC,Heard Island And McDonald Islands,5,Least Concern
LC,Hong Kong,5,Least Concern
LC,Hungary,16,Least Concern
LC,Iceland,37,Least Concern
LC,India,130,Least Concern
LC,Indonesia,10,Least Concern
LC,International Waters,12,Least Concern
LC,"Iran, Islamic Republic Of",3,Least Concern
LC,Ireland,31,Least Concern
LC,Israel,2,Least Concern
LC,Italy,124,Least Concern
LC,Japan,16,Least Concern
LC,Jordan,2,Least Concern
LC,Kenya,69,Least Concern
LC,"Korea, Republic Of",41,Least Concern
LC,Latvia,8,Least Concern
LC,Lithuania,7,Least Concern
LC,"Macedonia, The Former Yugoslav Republic Of",1,Least Concern
LC,Madagascar,7,Least Concern
LC,Malawi,11,Least Concern
LC,Malaysia,22,Least Concern
LC,Maldives,1,Least Concern
LC,Mali,13,Least Concern
LC,Malta,3,Least Concern
LC,Mauritania,11,Least Concern
LC,Mexico,57,Least Concern
LC,Mongolia,2,Least Concern
LC,Montenegro,8,Least Concern
LC,Morocco,69,Least Concern
LC,Mozambique,10,Least Concern
LC,Namibia,14,Least Concern
LC,Netherlands,60,Least Concern
LC,New Caledonia,7,Least Concern
LC,New Zealand,15,Least Concern
LC,Niger,2,Least Concern
LC,Nigeria,21,Least Concern
LC,Northern Mariana Islands,8,Least Concern
LC,Norway,450,Least Concern
LC,Pakistan,9,Least Concern
LC,Panama,5,Least Concern
LC,Peru,34,Least Concern
LC,Philippines,33,Least Concern
LC,Poland,82,Least Concern
LC,Portugal,23,Least Concern
LC,Puerto Rico,27,Least Concern
LC,Romania,74,Least Concern
LC,Russian Federation,139,Least Concern
LC,Rwanda,2,Least Concern
LC,"Saint Helena, Ascension And Tristan Da Cunha",2,Least Concern
LC,Saint Kitts And Nevis,1,Least Concern
LC,Samoa,1,Least Concern
LC,Senegal,32,Least Concern
LC,Serbia,7,Least Concern
LC,Seychelles,15,Least Concern
LC,Singapore,2,Least Concern
LC,Slovakia,21,Least Concern
LC,Slovenia,11,Least Concern
LC,Solomon Islands,5,Least Concern
LC,South Africa,117,Least Concern
LC,South Georgia And The South Sandwich Islands,5,Least Concern
LC,Spain,515,Least Concern
LC,Sri Lanka,2,Least Concern
LC,Svalbard And Jan Mayen,9,Least Concern
LC,Sweden,186,Least Concern
LC,Switzerland,38,Least Concern
LC,"Taiwan, Province Of China",6,Least Concern
LC,Tajikistan,1,Least Concern
LC,"Tanzania, United Republic Of",138,Least Concern
LC,Thailand,13,Least Concern
LC,Tonga,1,Least Concern
LC,Tunisia,6,Least Concern
LC,Turkey,65,Least Concern
LC,Turkmenistan,1,Least Concern
LC,Uganda,111,Least Concern
LC,Ukraine,128,Least Concern
LC,United Kingdom,460,Least Concern
LC,United States,1253,Least Concern
LC,United States Minor Outlying Islands,4,Least Concern
LC,Uzbekistan,1,Least Concern
LC,"Venezuela, Bolivarian Republic Of",3,Least Concern
LC,"Virgin Islands, British",1,Least Concern
LC,"Virgin Islands, U.S.",14,Least Concern
LC,Zambia,20,Least Concern
LC,Zimbabwe,48,Least Concern
NT,Albania,1,Near Threatened
NT,American Samoa,1,Near Threatened
NT,Antarctica,100,Near Threatened
NT,Antigua And Barbuda,1,Near Threatened
NT,Argentina,12,Near Threatened
NT,Australia,75,Near Threatened
NT,Bahamas,3,Near Threatened
NT,Belize,1,Near Threatened
NT,"Bolivia, Plurinational State Of",1,Near Threatened
NT,Botswana,2,Near Threatened
NT,Brazil,19,Near Threatened
NT,Cambodia,3,Near Threatened
NT,Canada,108,Near Threatened
NT,Cayman Islands,2,Near Threatened
NT,Chile,7,Near Threatened
NT,China,4,Near Threatened
NT,"Congo, The Democratic Republic Of The",4,Near Threatened
NT,Costa Rica,3,Near Threatened
NT,Denmark,10,Near Threatened
NT,Egypt,2,Near Threatened
NT,Estonia,3,Near Threatened
NT,Ethiopia,1,Near Threatened
NT,Falkland Islands (Malvinas),45,Near Threatened
NT,Fiji,1,Near Threatened
NT,Finland,7,Near Threatened
NT,France,12,Near Threatened
NT,French Guiana,1,Near Threatened
NT,French Polynesia,1,Near Threatened
NT,French Southern Territories,7,Near Threatened
NT,Germany,49,Near Threatened
NT,Ghana,1,Near Threatened
NT,Greece,7,Near Threatened
NT,Greenland,5,Near Threatened
NT,Guam,1,Near Threatened
NT,Guinea-Bissau,3,Near Threatened
NT,Guyana,1,Near Threatened
NT,Heard Island And McDonald Islands,6,Near Threatened
NT,Hungary,1,Near Threatened
NT,Iceland,4,Near Threatened
NT,India,27,Near Threatened
NT,Indonesia,3,Near Threatened
NT,International Waters,13,Near Threatened
NT,Ireland,3,Near Threatened
NT,Italy,13,Near Threatened
NT,Japan,1,Near Threatened
NT,Kenya,13,Near Threatened
NT,"Korea, Republic Of",15,Near Threatened
NT,Malaysia,17,Near Threatened
NT,Mali,1,Near Threatened
NT,Mauritania,3,Near Threatened
NT,Mexico,5,Near Threatened
NT,Morocco,10,Near Threatened
NT,Mozambique,1,Near Threatened
NT,Namibia,4,Near Threatened
NT,Nepal,1,Near Threatened
NT,Netherlands,4,Near Threatened
NT,New Caledonia,1,Near Threatened
NT,New Zealand,13,Near Threatened
NT,Norfolk Island,1,Near Threatened
NT,Northern Mariana Islands,1,Near Threatened
NT,Norway,36,Near Threatened
NT,Pakistan,1,Near Threatened
NT,Papua New Guinea,6,Near Threatened
NT,Peru,1,Near Threatened
NT,Poland,4,Near Threatened
NT,Portugal,1,Near Threatened
NT,Russian Federation,7,Near Threatened
NT,Senegal,2,Near Threatened
NT,Seychelles,4,Near Threatened
NT,Singapore,1,Near Threatened
NT,Slovenia,1,Near Threatened
NT,South Africa,30,Near Threatened
NT,South Georgia And The South Sandwich Islands,3,Near Threatened
NT,Spain,37,Near Threatened
NT,Sri Lanka,1,Near Threatened
NT,Sudan,1,Near Threatened
NT,Suriname,1,Near Threatened
NT,Svalbard And Jan Mayen,1,Near Threatened
NT,Swaziland,1,Near Threatened
NT,Sweden,8,Near Threatened
NT,Switzerland,1,Near Threatened
NT,"Tanzania, United Republic Of",4,Near Threatened
NT,Thailand,6,Near Threatened
NT,Turkey,5,Near Threatened
NT,Uganda,4,Near Threatened
NT,Ukraine,11,Near Threatened
NT,United Arab Emirates,1,Near Threatened
NT,United Kingdom,39,Near Threatened
NT,United States,105,Near Threatened
NT,United States Minor Outlying Islands,1,Near Threatened
NT,Uruguay,1,Near Threatened
NT,Uzbekistan,1,Near Threatened
NT,"Virgin Islands, U.S.",3,Near Threatened
NT,Zambia,2,Near Threatened
NT,Zimbabwe,5,Near Threatened
VU,<cc><c9>land Islands,1,Vulnerable
VU,Albania,2,Vulnerable
VU,Angola,2,Vulnerable
VU,Argentina,4,Vulnerable
VU,Australia,28,Vulnerable
VU,Austria,3,Vulnerable
VU,Azerbaijan,1,Vulnerable
VU,Belarus,2,Vulnerable
VU,Belize,5,Vulnerable
VU,"Bolivia, Plurinational State Of",1,Vulnerable
VU,Botswana,4,Vulnerable
VU,Brazil,8,Vulnerable
VU,Bulgaria,4,Vulnerable
VU,Cambodia,3,Vulnerable
VU,Cameroon,7,Vulnerable
VU,Canada,103,Vulnerable
VU,Cayman Islands,1,Vulnerable
VU,Central African Republic,2,Vulnerable
VU,Chile,5,Vulnerable
VU,China,17,Vulnerable
VU,"Congo, The Democratic Republic Of The",2,Vulnerable
VU,Cook Islands,3,Vulnerable
VU,Costa Rica,12,Vulnerable
VU,Croatia,1,Vulnerable
VU,C̫te D'Ivoire,2,Vulnerable
VU,Cura̤ao,1,Vulnerable
VU,Czech Republic,2,Vulnerable
VU,Denmark,1,Vulnerable
VU,Dominica,1,Vulnerable
VU,Dominican Republic,3,Vulnerable
VU,Ecuador,10,Vulnerable
VU,Estonia,3,Vulnerable
VU,Falkland Islands (Malvinas),39,Vulnerable
VU,Faroe Islands,3,Vulnerable
VU,Finland,2,Vulnerable
VU,France,7,Vulnerable
VU,French Guiana,6,Vulnerable
VU,French Southern Territories,7,Vulnerable
VU,Gabon,4,Vulnerable
VU,Germany,7,Vulnerable
VU,Ghana,7,Vulnerable
VU,Greece,7,Vulnerable
VU,Greenland,4,Vulnerable
VU,Guinea-Bissau,2,Vulnerable
VU,Honduras,2,Vulnerable
VU,Hungary,6,Vulnerable
VU,Iceland,4,Vulnerable
VU,India,33,Vulnerable
VU,Indonesia,11,Vulnerable
VU,International Waters,27,Vulnerable
VU,"Iran, Islamic Republic Of",2,Vulnerable
VU,Ireland,2,Vulnerable
VU,Israel,3,Vulnerable
VU,Italy,6,Vulnerable
VU,Japan,11,Vulnerable
VU,Kazakhstan,1,Vulnerable
VU,Kenya,12,Vulnerable
VU,"Korea, Republic Of",5,Vulnerable
VU,Latvia,1,Vulnerable
VU,Lithuania,3,Vulnerable
VU,"Macedonia, The Former Yugoslav Republic Of",1,Vulnerable
VU,Malawi,1,Vulnerable
VU,Malaysia,8,Vulnerable
VU,Malta,1,Vulnerable
VU,Mauritius,3,Vulnerable
VU,Mexico,7,Vulnerable
VU,Montenegro,1,Vulnerable
VU,Morocco,4,Vulnerable
VU,Mozambique,5,Vulnerable
VU,Namibia,5,Vulnerable
VU,Nepal,5,Vulnerable
VU,Netherlands,1,Vulnerable
VU,New Zealand,20,Vulnerable
VU,Norway,23,Vulnerable
VU,Oman,2,Vulnerable
VU,Pakistan,16,Vulnerable
VU,Panama,1,Vulnerable
VU,Papua New Guinea,3,Vulnerable
VU,Peru,5,Vulnerable
VU,Philippines,1,Vulnerable
VU,Poland,7,Vulnerable
VU,Portugal,5,Vulnerable
VU,Puerto Rico,5,Vulnerable
VU,Romania,6,Vulnerable
VU,Russian Federation,20,Vulnerable
VU,"Saint Helena, Ascension And Tristan Da Cunha",2,Vulnerable
VU,Saint Lucia,1,Vulnerable
VU,Saudi Arabia,2,Vulnerable
VU,Seychelles,5,Vulnerable
VU,Slovakia,3,Vulnerable
VU,Solomon Islands,1,Vulnerable
VU,South Africa,76,Vulnerable
VU,South Georgia And The South Sandwich Islands,18,Vulnerable
VU,Spain,26,Vulnerable
VU,Sri Lanka,1,Vulnerable
VU,Suriname,8,Vulnerable
VU,Swaziland,2,Vulnerable
VU,Sweden,8,Vulnerable
VU,"Tanzania, United Republic Of",33,Vulnerable
VU,Thailand,8,Vulnerable
VU,Trinidad And Tobago,2,Vulnerable
VU,Turkey,7,Vulnerable
VU,Turkmenistan,2,Vulnerable
VU,Uganda,21,Vulnerable
VU,Ukraine,5,Vulnerable
VU,United Arab Emirates,1,Vulnerable
VU,United Kingdom,29,Vulnerable
VU,United States,132,Vulnerable
VU,United States Minor Outlying Islands,2,Vulnerable
VU,Uruguay,1,Vulnerable
VU,"Venezuela, Bolivarian Republic Of",4,Vulnerable
VU,"Virgin Islands, British",1,Vulnerable
VU,"Virgin Islands, U.S.",4,Vulnerable
VU,Zambia,17,Vulnerable
VU,Zimbabwe,13,Vulnerable
